priflik	publik	Util
2.8742e-07	0.150054	4.35641e-10
2.92002e-09	0.183103	5.40064e-12
1.11158e-06	0.218324	2.45137e-09
0.293101	0.263602	0.000779814
0.0272459	0.330081	9.08335e-05
1.47722e-05	0.418922	6.2509e-08
9.21685e-08	0.487512	4.53871e-10
1.23888e-05	0.59095	7.39508e-08
1.2004e-05	0.73081	8.86123e-08
1.58969e-07	0.8342	1.33952e-09
1.86248e-08	1	1.88129e-10
1.05454e-05	0.414147	4.41145e-08
1.51114e-09	0.000963311	1.4704e-14
2.04416e-07	0.00240079	4.95717e-12
6.56896e-10	4.27107e+14	0.999647
7.97302e-05	0.0146849	1.18265e-08
9.33759e-06	0.0214271	2.02098e-09
1.34186e-05	0.028855	3.91104e-09
0.0440742	0.0388997	1.73176e-05
3.52244e-06	0.0484181	1.72272e-09
0.000242328	0.0693247	1.6969e-07
0.000100835	0.0824393	8.39676e-08
0.0789036	0.104965	8.3651e-05
1.74634e-05	0.135791	2.39532e-08
1.03118e-05	0.16456	1.71405e-08
2.87323e-05	0.197289	5.72582e-08
3.73839e-06	0.232903	8.79476e-09
1.64275e-06	0.294813	4.89194e-09
0.000624594	0.364856	2.30189e-06
1.41856e-05	0.426693	6.11402e-08
3.81548e-09	0.515649	1.98732e-11
7.51535e-05	0.627786	4.76569e-07
0.0937924	0.722794	0.000684305
3.31163e-08	0.860058	2.87697e-10
1.69679e-07	1	1.71393e-09
8.09281e-06	0.366015	2.99201e-08
0.0322852	0.000943487	3.07683e-07
1.93212e-09	0.00232503	4.5376e-14
0.00520345	5.94541e+14	1
5.25947e-08	0.0140028	7.43915e-12
0.000509796	0.0201715	1.03872e-07
3.03986e-05	0.0270444	8.30415e-09
2.67348	0.0362737	0.000978608
0.000455231	0.0450833	2.07306e-07
0.000165971	0.0643284	1.07845e-07
1.81414e-06	0.0761084	1.39466e-09
6.74838e-10	0.096092	6.55015e-13
4.29209e-09	0.123507	5.35457e-12
0.000172458	0.148512	2.58709e-07
0.000130126	0.177019	2.32674e-07
5.16751e-06	0.208469	1.08815e-08
0.0101476	0.260543	2.67051e-05
6.93387e-09	0.323063	2.26271e-11
0.000107775	0.375953	4.09275e-07
1.10553e-06	0.454914	5.08003e-09
0.00070719	0.548057	3.91494e-06
0.00308493	0.626243	1.95139e-05
7.10809e-06	0.751194	5.39349e-08
4.81289e-06	0.866854	4.21422e-08
3120.97	1	0.969254
8.27095e-06	0.347927	2.90676e-08
0.00125021	0.000936452	1.18259e-08
0.00548504	0.00230339	1.27618e-07
9.46329e-06	2.19705e+18	1
